Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,MediaThumbnail,Type,Group,Background
1701,12,13,,1701,12,13,,1701-12-13,Amasis,La Grange-Chancel (François-Joseph de),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1777,09,24,,1777,09,24,,1777-09-24,Inconséquent ou les Soubrettes (L'),Laujon (Pierre),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1759,02,28,,1759,02,28,,1759-02-28,Titus,Belloy (Pierre Laurent de),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1707,03,15,,1707,03,15,,1707-03-15,Don César Ursin,Lesage (Alain-René),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1738,07,05,,1738,07,05,,1738-07-05,Pouvoir de la sympathie (Le),Boissy (Louis de),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1749,01,03,,1749,01,03,,1749-01-03,Visites du jour de l'an (Les),Vadé (Jean-Joseph),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1709,12,13,,1709,12,13,,1709-12-13,Jaloux désabusé (Le),Campistron (Jean Galbert de),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1791,05,30,,1791,05,30,,1791-05-30,Bienfaisance de Voltaire (La),Villemain d'Abancourt (François-Jean),http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,pièces dramatique,http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,,
1699,11,20,,1699,11,20,,1699-11-20,Athénaïs,La Grange-Chancel (François-Joseph de),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1740,10,22,,1740,10,22,,1740-10-22,Heureux échange (L'),Anonyme,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1759,08,02,,1759,08,02,,1759-08-02,Indécis (L'),Dufaut,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1749,02,22,,1749,02,22,,1749-02-22,École de la jeunesse ou le Retour sur soi-même (L'),La Chaussée (Pierre-Claude),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1776,03,06,,1776,03,06,,1776-03-06,Abdolonime ou le Roi berger,Collet de Messine (Jean-Baptiste),http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,comédie héroïque,http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,,
1724,10,18,,1724,10,18,,1724-10-18,Le Temps passé ou le Triomphe du temps passé (Le),Legrand (Marc-Antoine),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1728,02,25,,1728,02,25,,1728-02-25,Procureur arbitre (Le),Poisson (Philippe),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1779,10,02,,1779,10,02,,1779-10-02,Roséïde ou l'Intrigant,Dorat (Claude-Joseph),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1702,08,22,,1702,08,22,,1702-08-22,Bal d'Auteuil (Le),Boindin (Nicolas),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1790,02,23,,1790,02,23,,1790-02-23,Trois noces (Les),Dezède (Nicolas),http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,comédie champêtre,http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,,
1706,11,23,,1706,11,23,,1706-11-23,Tomyris,Barbier (Marie-Anne),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1769,01,26,,1769,01,26,,1769-01-26,Orphelin anglais (L'),Longueil (Charles-Henri de),http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,drame,http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,,
1685,07,23,,1685,07,23,,1685-07-23,Florentin (Le),La Fontaine (Jean de),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1730,02,18,,1730,02,18,,1730-02-18,Callisthène,Piron (Alexis),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1790,02,11,,1790,02,11,,1790-02-11,Souper magique ou les Deux siècles (Le),André-Murville (Pierre-Nicolas),http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,comédie épisodique,http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,,
1702,06,03,,1702,06,03,,1702-06-03,Arrie et Pétus,Barbier (Marie-Anne),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1726,09,07,,1726,09,07,,1726-09-07,Pastor-fido (Le),Pellegrin (Simon-Joseph),http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,pastorale héroïque,http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,,
1771,01,12,,1771,01,12,,1771-01-12,Fabricant de Londres (Le),Fenouillot de Falbaire de Quingey (Charles-Georges),http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,drame,http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,,
1721,11,18,,1721,11,18,,1721-11-18,Aégiste,Séguineau (Mr) ; Pralard (René),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1713,01,05,,1713,01,05,,1713-01-05,Irrésolu (L'),Destouches (Philippe Néricault dit),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1762,10,16,,1762,10,16,,1762-10-16,Tambour nocturne ou le Mari devin (Le),Destouches (Philippe Néricault dit),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1764,03,03,,1764,03,03,,1764-03-03,Amateur (L'),Barthe (Nicolas-Thomas),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1694,06,03,,1694,06,03,,1694-06-03,Entêté (L'),Anonyme,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1691,02,12,,1691,02,12,,1691-02-12,Tiridate,Campistron (Jean Galbert de),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1761,05,25,,1761,05,25,,1761-05-25,Térée,Le Mierre (Antoine-Marin),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1752,10,26,,1752,10,26,,1752-10-26,Engagements indiscrets (Les),Devaux (François-Antoine),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1741,08,17,,1741,08,17,,1741-08-17,Sylvie,Landois (Paul),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1688,12,16,,1688,12,16,,1688-12-16,Phocion,Campistron (Jean Galbert de),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1684,02,19,,1684,02,19,,1684-02-19,Arminius,Campistron (Jean Galbert de),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1721,12,06,,1721,12,06,,1721-12-06,Antiochus ou Les Macchabées,"Nadal (Augustin, abbé)",http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1725,08,18,,1725,08,18,,1725-08-18,Indiscret (L'),Voltaire (François-Marie Arouet dit),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1754,01,21,,1754,01,21,,1754-01-21,Paros,Mailhol (Gabriel),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1779,08,02,,1779,08,02,,1779-08-02,Laurette,Oisemont (d'),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1782,03,01,,1782,03,01,,1782-03-01,Henriette,Raucourt (Françoise-Marie-Antoinette-Josèphe Saucerotte dite Mademoiselle),http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,drame,http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,,
1705,10,17,,1705,10,17,,1705-10-17,Provençale (La),Anonyme,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1727,01,13,,1727,01,13,,1727-01-13,Nouveauté (La),Legrand (Marc-Antoine),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1780,12,14,,1780,12,14,,1780-12-14,Clémentine et Desormes,Boutet de Monvel (Jacques-Marie),http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,drame,http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,,
1784,12,15,,1784,12,15,,1784-12-15,Avare cru bienfaisant (L'),Brousse-Desfaucherets (Jean-Louis),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1788,09,13,,1788,09,13,,1788-09-13,Lanval et Viviane ou les Fées et les chevaliers,André-Murville (Pierre-Nicolas),http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,comédie héori-féérie,http://culturebox.francetvinfo.fr/sites/default/files/assets/images/2015/02/estivants_2.jpg,,,
1788,05,31,,1788,05,31,,1788-05-31,Inconséquent (L'),Lantier (Étienne François de),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1767,11,20,,1767,11,20,,1767-11-20,Deux sœurs (Les),Bret (Antoine),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1743,08,29,,1743,08,29,,1743-08-29,Mort de César (La),Voltaire (François-Marie Arouet dit),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1703,01,05,,1703,01,05,,1703-01-05,Cornélie mère des Gracques,Barbier (Marie-Anne),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1787,01,31,,1787,01,31,,1787-01-31,Fausse inconstance ou le Triomphe de l'honnêteté (La),Beauharnais (Fanny de),http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,comédie,http://i.f1g.fr/media/figaro/805x453_crop/2015/06/11/XVM3aa11084-1025-11e5-993b-13c3811e2e5c.jpg,,,
1748,10,19,,1748,10,19,,1748-10-19,Mégare,Morand (Pierre de),http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1739,02,23,,1739,02,23,,1739-02-23,Mahomet second,"La Noue (Jean-Baptiste Simon Sauvé de La Noue, dit)",http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
1759,11,12,,1759,11,12,,1759-11-12,Namir,"Thibouville (Henri Lambert d'Herbigny, marquis de)",http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,tragédie,http://www.culturekiosque.com/images66/victor_hugo_lecretia1_borgia.jpg,,,
